dataset,estimator,cost_type,n_samples,method,validity,cost,plausibility,sparsity,time,time per samples
Bail,XGBoost,std,20,FOCUS (0.001),1.0,6.515596920251847,0.5999946840552848,8.95,222.32949090003967,11.116474545001983
Bail,XGBoost,std,20,FOCUS (0.01),1.0,5.7079189021140335,0.5901108189643061,7.4,222.8895387649536,11.14447693824768
Bail,XGBoost,std,20,FOCUS (0.1),1.0,2.6011837830767037,0.5275668223568232,3.9,222.80848908424375,11.140424454212187
Bail,XGBoost,std,20,FT++,1.0,0.8090595706453405,0.4993898425652047,1.45,1.0624752044677734,0.0531237602233886
Bail,XGBoost,std,20,FT,1.0,0.654260629570443,0.4986936609506111,1.2,0.2151641845703125,0.0107582092285156
Bail,XGBoost,std,20,OAE,1.0,0.3445278821396563,0.4988168837665695,1.55,933.6942811012268,46.68471405506134
Bail,XGBoost,std,20,FOCUS (0.001),1.0,6.864348406344652,0.6002362124699514,9.3,238.33304810523987,11.916652405261994
Bail,XGBoost,std,20,FOCUS (0.01),1.0,5.152189006656409,0.5748196290832791,7.25,237.4603409767151,11.873017048835754
Bail,XGBoost,std,20,FOCUS (0.1),1.0,2.2297141728922725,0.5163616600753052,3.75,238.04108810424805,11.902054405212402
Bail,XGBoost,std,20,FT++,1.0,0.6498241916069902,0.4960327019247572,1.2,1.2009198665618896,0.0600459933280944
Bail,XGBoost,std,20,FT,1.0,0.7213089142907381,0.5059061043269739,1.1,0.2127490043640136,0.0106374502182006
Bail,XGBoost,std,20,OAE,1.0,0.3064846645067454,0.5005981759733724,1.7000000000000002,608.1573929786682,30.40786964893341
Bail,XGBoost,std,20,FOCUS (0.001),1.0,5.680372723564505,0.6078152290577262,8.35,231.163067817688,11.5581533908844
Bail,XGBoost,std,20,FOCUS (0.01),1.0,4.365847375802696,0.5738176538156995,6.5,230.6946108341217,11.534730541706086
Bail,XGBoost,std,20,FOCUS (0.1),1.0,1.886170513741672,0.5247624967896043,3.1,230.26007413864136,11.513003706932068
Bail,XGBoost,std,20,FT++,1.0,0.7133262875664059,0.5033665952767457,1.15,1.1131799221038818,0.055658996105194
FICO,RandomForest,std,20,FT,1.0,1.9329019691939089,0.46448793999852767,1.7500000000000002,0.25488996505737305,0.012744498252868653
FICO,RandomForest,std,20,OAE,0.75,12.596743742496786,0.4561225543275981,11.133333333333331,3548.853049993515,177.44265249967575
FICO,RandomForest,std,20,FOCUS (0.001),0.8,11.363862327300012,0.46510811796398077,15.5625,378.43847918510437,18.921923959255217
FICO,RandomForest,std,20,FOCUS (0.01),0.75,4.946089551597834,0.4651906667487437,9.666666666666668,371.1911702156067,18.559558510780334
