dataset,estimator,shift_type,cost_type,n_samples,method,parameter,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,split,tlps,1102,Baseline,0.0,1.0,0.2250453720508167,1.3016274274779787,0.4481938929692727,1.7459165154264975,79.96493601799011,0.07256346281124329
FICO,XGBoost,split,tlps,1102,RobX,0.5,1.0,0.3838475499092559,7.087338933034878,0.43779199193552115,14.853901996370237,408.51243901252747,0.3707009428425839
FICO,XGBoost,split,tlps,1102,RobX,0.55,1.0,0.4382940108892922,8.076469153261048,0.4364001129263551,14.852994555353902,408.51243901252747,0.3707009428425839
FICO,XGBoost,split,tlps,1102,RobX,0.6,0.9990925589836661,0.4691470054446461,9.184359819477377,0.43504606818206276,14.939146230699365,408.51243901252747,0.3707009428425839
FICO,XGBoost,split,tlps,1102,RobX,0.65,1.0,0.530852994555354,10.212542289220325,0.43421721227931537,15.034482758620689,408.51243901252747,0.3707009428425839
FICO,XGBoost,split,tlps,1102,RobX,0.7,0.9972776769509982,0.588929219600726,11.485040214862668,0.4323879514740536,15.092811646951771,408.51243901252747,0.3707009428425839
FICO,XGBoost,split,tlps,1102,BetaRobust,0.7,1.0,0.31125226860254085,2.2043805714847338,0.4384918540635852,2.28584392014519,194.92568397521973,0.17688356077606146
FICO,XGBoost,split,tlps,1102,BetaRobust,0.75,1.0,0.3275862068965517,2.3088062299967027,0.4382224759128208,2.3221415607985483,194.92568397521973,0.17688356077606146
FICO,XGBoost,split,tlps,1102,BetaRobust,0.8,1.0,0.33030852994555354,2.3683166158026143,0.43809481342918977,2.3584392014519056,194.92568397521973,0.17688356077606146
FICO,XGBoost,split,tlps,1102,BetaRobust,0.85,1.0,0.33484573502722326,2.4438372286492727,0.43800731373669194,2.390199637023593,194.92568397521973,0.17688356077606146
FICO,XGBoost,split,tlps,1102,BetaRobust,0.9,1.0,0.34936479128856623,2.516031449922828,0.43781366590269527,2.431034482758621,194.92568397521973,0.17688356077606146
FICO,XGBoost,split,tlps,1102,DiRARTE-W,1.5,1.0,0.35934664246823955,2.9673203695699684,0.44452304766953477,2.680580762250454,83.74039506912231,0.07598946920972986
FICO,XGBoost,split,tlps,1102,DiRARTE-W,2.0,1.0,0.39655172413793105,3.813543818100643,0.4454688662920854,3.041742286751361,83.74039506912231,0.07598946920972986
FICO,XGBoost,split,tlps,1102,DiRARTE-W,2.5,0.9981851179673321,0.4945553539019964,4.914476835786407,0.44601713772238905,3.449090909090909,83.74039506912231,0.07598946920972986
FICO,XGBoost,split,tlps,1102,DiRARTE-W,3.0,0.9936479128856625,0.5508166969147006,6.192558304239819,0.44757470436668584,3.790867579908676,83.74039506912231,0.07598946920972986
FICO,XGBoost,split,tlps,1102,DiRARTE-W,3.5,0.9655172413793104,0.5771324863883848,7.930699827811068,0.4509397478803144,4.177631578947369,83.74039506912231,0.07598946920972986
